tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location
1/1/2021,43,,58,29,35,65,65,O3,SEDANG,DKI2
1/2/2021,58,,86,38,64,80,86,PM25,SEDANG,DKI3
1/3/2021,64,,93,25,62,86,93,PM25,SEDANG,DKI3
1/4/2021,50,,67,24,31,77,77,O3,SEDANG,DKI2
1/5/2021,59,,89,24,35,77,89,PM25,SEDANG,DKI3
1/6/2021,73,,81,29,66,85,85,O3,SEDANG,DKI2
1/7/2021,36,,52,22,55,72,72,O3,SEDANG,DKI2
1/8/2021,38,,68,26,51,71,71,O3,SEDANG,DKI2
1/9/2021,60,,77,34,42,80,80,O3,SEDANG,DKI2
1/10/2021,24,,39,16,38,59,59,O3,SEDANG,DKI2
1/11/2021,51,,72,17,57,68,72,PM25,SEDANG,DKI3
1/12/2021,29,,58,20,44,77,77,O3,SEDANG,DKI2
1/13/2021,36,,47,17,32,68,68,O3,SEDANG,DKI2
1/14/2021,36,,78,20,38,65,78,PM25,SEDANG,DKI3
1/15/2021,52,,82,20,56,65,82,PM25,SEDANG,DKI3
1/16/2021,70,,92,19,38,67,92,PM25,SEDANG,DKI3
1/17/2021,58,,86,22,41,93,93,O3,SEDANG,DKI2
1/18/2021,51,,64,21,37,78,78,O3,SEDANG,DKI2
1/19/2021,42,,56,19,35,58,58,O3,SEDANG,DKI2
1/20/2021,54,,45,17,33,72,72,O3,SEDANG,DKI2
1/21/2021,63,,51,21,38,67,67,O3,SEDANG,DKI2
1/22/2021,84,,112,32,54,67,112,PM25,TIDAK SEHAT,DKI3
1/23/2021,89,,126,47,61,104,126,PM25,TIDAK SEHAT,DKI3
1/24/2021,64,,90,19,31,75,90,PM25,SEDANG,DKI3
1/25/2021,62,,95,29,67,134,134,O3,TIDAK SEHAT,DKI2
1/26/2021,57,,79,34,39,71,79,PM25,SEDANG,DKI3
1/27/2021,33,,37,25,20,63,63,O3,SEDANG,DKI2
1/28/2021,28,,49,25,28,53,53,O3,SEDANG,DKI2
1/29/2021,30,,53,26,36,65,65,O3,SEDANG,DKI2
